description,vlan,usage,iPv4_address,mac_address,port,connected_to,last_seen,location,model,code
antMiner-120,1202,46.2 MB,10.12.0.40,de:42:a7:65:ea:bd,16,M12-POD2-04-sw,4/14/2022 00:39,M12-POD2-4-4-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-195,1202,46.8 MB,10.12.0.43,4c:29:7b:f3:3c:52,19,M12-POD2-04-sw,4/14/2022 00:39,M12-POD2-4-4-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-243,1202,46.8 MB,10.12.0.44,68:7d:f0:39:d0:17,8,M12-POD2-04-sw,4/14/2022 00:39,M12-POD2-4-2-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-369,1202,47.1 MB,10.12.0.49,28:cb:b3:14:fd:23,14,M12-POD2-03-sw,4/14/2022 00:39,M12-POD2-3-3-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-615,1202,45.3 MB,10.12.0.50,1a:c9:2e:3c:03:ca,16,M12-POD2-03-sw,4/14/2022 00:39,M12-POD2-3-4-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-109,1202,59.1 MB,10.12.0.54,e0:c8:31:a3:a6:c0,17,M12-POD2-03-sw,4/14/2022 00:39,M12-POD2-3-4-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-99,1202,46.7 MB,10.12.0.59,5e:60:69:77:d4:bc,15,M12-POD2-01-sw,4/14/2022 00:39,M12-POD2-1-3-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-256,1202,44.0 MB,10.12.0.65,b4:15:b9:fb:3d:a9,19,M12-POD2-01-sw,4/14/2022 00:39,M12-POD2-1-4-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-382,1202,47.9 MB,10.12.0.66,40:37:8b:34:7f:1a,14,M12-POD2-01-sw,4/14/2022 00:39,M12-POD2-1-3-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-327,1202,47.3 MB,10.12.0.67,84:64:1d:4d:65:c4,9,M12-POD2-01-sw,4/14/2022 00:39,M12-POD2-1-2-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-8,1202,51.6 MB,10.12.0.68,76:c3:de:bf:72:00,19,M12-POD2-03-sw,4/14/2022 00:39,M12-POD2-3-4-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-377,1202,46.6 MB,10.12.0.70,1e:36:79:d8:67:b7,7,M12-POD2-01-sw,4/14/2022 00:39,M12-POD2-1-2-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-85,1202,50.4 MB,10.12.0.73,9a:82:05:7a:51:dd,1,M12-POD2-01-sw,4/14/2022 00:39,M12-POD2-1-1-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-119,1202,47.1 MB,10.12.0.75,4c:2e:57:2e:e4:19,20,M12-POD2-03-sw,4/14/2022 00:39,M12-POD2-3-4-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-214,1202,41.3 MB,10.12.0.81,c4:03:5b:a7:77:62,13,M12-POD2-03-sw,4/14/2022 00:39,M12-POD2-3-3-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-233,1202,36.3 MB,10.12.0.84,5e:4c:3d:b0:26:79,15,M12-POD2-03-sw,4/14/2022 00:39,M12-POD2-3-3-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-326,1202,45.1 MB,10.12.0.86,02:67:ac:c4:8b:b4,7,M12-POD2-03-sw,4/14/2022 00:39,M12-POD2-3-2-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-342,1202,45.0 MB,10.12.0.88,34:d1:82:36:20:a8,8,M12-POD2-03-sw,4/14/2022 00:39,M12-POD2-3-2-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-77,1202,46.9 MB,10.12.0.92,d2:91:79:17:c6:85,10,M12-POD2-03-sw,4/14/2022 00:39,M12-POD2-3-2-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-38,1202,34.6 MB,10.12.0.98,16:d1:a1:3f:cf:58,16,M12-POD2-02-sw,4/14/2022 00:39,M12-POD2-2-4-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-123,1202,47.1 MB,10.12.0.99,e4:d2:6c:c5:48:00,3,M12-POD2-03-sw,4/14/2022 00:39,M12-POD2-3-1-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-232,1202,43.3 MB,10.12.0.100,f6:eb:3b:5a:30:d7,17,M12-POD2-02-sw,4/14/2022 00:39,M12-POD2-2-4-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-157,1202,46.4 MB,10.12.0.102,1a:7a:b1:84:21:b5,14,M12-POD2-04-sw,4/14/2022 00:39,M12-POD2-4-3-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-366,1202,46.9 MB,10.12.0.103,c6:e2:49:94:64:6f,20,M12-POD2-04-sw,4/14/2022 00:39,M12-POD2-4-4-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-130,1202,46.2 MB,10.12.0.108,46:76:20:a6:b3:1f,11,M12-POD2-01-sw,4/14/2022 00:39,M12-POD2-1-3-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-14,1202,72.9 MB,10.12.0.109,90:18:14:f1:4e:31,12,M12-POD2-01-sw,4/14/2022 00:39,M12-POD2-1-3-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-158,1202,47.0 MB,10.12.0.110,0e:4e:ba:d4:44:8c,13,M12-POD2-01-sw,4/14/2022 00:39,M12-POD2-1-3-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-323,1202,50.9 MB,10.12.0.113,6a:53:b9:78:2d:7e,18,M12-POD2-01-sw,4/14/2022 00:39,M12-POD2-1-4-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-65,1202,50.1 MB,10.12.0.118,80:d1:0a:c8:1f:dd,16,M12-POD2-01-sw,4/14/2022 00:39,M12-POD2-1-4-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-116,1202,45.9 MB,10.12.0.119,30:b4:1d:b8:d0:23,10,M12-POD2-02-sw,4/14/2022 00:39,M12-POD2-2-2-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-92,1202,44.3 MB,10.12.0.120,b6:3c:66:a1:4e:82,15,M12-POD2-02-sw,4/14/2022 00:39,M12-POD2-2-3-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-241,1202,42.6 MB,10.12.0.121,8c:92:a7:a2:6c:d5,20,M12-POD2-02-sw,4/14/2022 00:39,M12-POD2-2-4-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-261,1202,46.4 MB,10.12.0.122,50:98:5b:5d:66:95,19,M12-POD2-02-sw,4/14/2022 00:39,M12-POD2-2-4-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-115,1202,47.0 MB,10.12.0.123,c2:d6:a0:c8:be:e3,14,M12-POD2-02-sw,4/14/2022 00:39,M12-POD2-2-3-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-230,1202,43.3 MB,10.12.0.127,dc:0e:d0:58:85:b2,18,M12-POD2-02-sw,4/14/2022 00:39,M12-POD2-2-4-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-274,1202,44.3 MB,10.12.0.132,ea:f6:17:ed:3a:32,11,M12-POD2-04-sw,4/14/2022 00:39,M12-POD2-4-3-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-11,1202,44.1 MB,10.12.0.134,ae:dc:5e:ce:09:be,12,M12-POD2-04-sw,4/14/2022 00:39,M12-POD2-4-3-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-293,1202,46.4 MB,10.12.0.135,f2:2d:a8:c1:06:1f,13,M12-POD2-04-sw,4/14/2022 00:39,M12-POD2-4-3-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-7,1202,43.8 MB,10.12.0.138,aa:17:7d:f0:83:47,15,M12-POD2-04-sw,4/14/2022 00:39,M12-POD2-4-3-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-204,1202,52.5 MB,10.12.0.142,2a:3c:98:fa:48:f1,2,M12-POD2-02-sw,4/14/2022 00:39,M12-POD2-2-1-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-319,1202,56.8 MB,10.12.0.144,44:1b:1f:8e:fd:0e,8,M12-POD2-02-sw,4/14/2022 00:39,M12-POD2-2-2-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-368,1202,46.7 MB,10.12.0.150,76:01:25:5b:a2:a7,4,M12-POD2-04-sw,4/14/2022 00:39,M12-POD2-4-1-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-339,1202,43.0 MB,10.12.0.155,de:95:b5:0d:52:6d,9,M12-POD2-07-sw,4/14/2022 00:39,M12-POD2-7-2-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-103,1202,46.5 MB,10.12.0.156,f8:6a:d9:83:56:ae,8,M12-POD2-07-sw,4/14/2022 00:39,M12-POD2-7-2-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-93,1202,47.0 MB,10.12.0.157,82:e6:89:5b:e6:c7,14,M12-POD2-05-sw,4/14/2022 00:39,M12-POD2-5-3-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-367,1202,46.6 MB,10.12.0.158,7a:bd:d3:bc:7b:cc,14,M12-POD2-07-sw,4/14/2022 00:39,M12-POD2-7-3-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-334,1202,45.2 MB,10.12.0.159,de:c6:cf:9a:57:aa,7,M12-POD2-05-sw,4/14/2022 00:39,M12-POD2-5-2-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-29,1202,48.1 MB,10.12.0.160,ae:e9:ac:09:af:9f,15,M12-POD2-07-sw,4/14/2022 00:39,M12-POD2-7-3-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-310,1202,52.0 MB,10.12.0.162,64:34:c3:73:d7:7c,7,M12-POD2-07-sw,4/14/2022 00:39,M12-POD2-7-2-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-273,1202,43.7 MB,10.12.0.167,6c:e2:d8:18:ac:03,16,M12-POD2-07-sw,4/14/2022 00:39,M12-POD2-7-4-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-165,1202,54.0 MB,10.12.0.168,04:f7:99:8b:85:b8,18,M12-POD2-07-sw,4/14/2022 00:39,M12-POD2-7-4-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-343,1202,47.1 MB,10.12.0.171,92:e3:7c:af:35:91,17,M12-POD2-07-sw,4/14/2022 00:39,M12-POD2-7-4-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-113,1202,48.0 MB,10.12.0.172,f8:28:99:a1:a2:40,19,M12-POD2-07-sw,4/14/2022 00:39,M12-POD2-7-4-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-260,1202,46.9 MB,10.12.0.173,c0:4b:44:e4:de:19,13,M12-POD2-06-sw,4/14/2022 00:39,M12-POD2-6-3-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-303,1202,61.1 MB,10.12.0.174,38:9b:d0:92:ee:8b,13,M12-POD2-07-sw,4/14/2022 00:39,M12-POD2-7-3-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-299,1202,44.3 MB,10.12.0.175,52:51:dc:4c:a6:f5,20,M12-POD2-06-sw,4/14/2022 00:39,M12-POD2-6-4-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-71,1202,52.5 MB,10.12.0.177,cc:04:4b:95:7e:50,6,M12-POD2-05-sw,4/14/2022 00:39,M12-POD2-5-2-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-231,1202,43.2 MB,10.12.0.181,c0:54:4a:73:92:cb,18,M12-POD2-06-sw,4/14/2022 00:39,M12-POD2-6-4-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-226,1202,42.7 MB,10.12.0.182,50:d6:e4:2d:5c:20,18,M12-POD2-05-sw,4/14/2022 00:39,M12-POD2-5-4-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-181,1202,46.6 MB,10.12.0.183,5a:c6:e3:42:fb:b6,16,M12-POD2-11-sw,4/14/2022 00:39,M12-POD2-11-4-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-221,1202,61.7 MB,10.12.0.184,f4:49:42:55:b7:e3,18,M12-POD2-11-sw,4/14/2022 00:39,M12-POD2-11-4-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-70,1202,56.5 MB,10.12.0.185,5e:cc:94:30:e5:d4,15,M12-POD2-11-sw,4/14/2022 00:39,M12-POD2-11-3-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-191,1202,58.0 MB,10.12.0.186,ca:5d:69:94:b6:e6,14,M12-POD2-11-sw,4/14/2022 00:39,M12-POD2-11-3-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-52,1202,46.8 MB,10.12.0.187,86:fd:8b:54:41:5b,13,M12-POD2-11-sw,4/14/2022 00:39,M12-POD2-11-3-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-270,1202,46.9 MB,10.12.0.188,d8:37:2e:96:52:37,17,M12-POD2-11-sw,4/14/2022 00:39,M12-POD2-11-4-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-285,1202,53.5 MB,10.12.0.191,1e:f4:33:96:0d:86,9,M12-POD2-11-sw,4/14/2022 00:39,M12-POD2-11-2-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-229,1202,43.5 MB,10.12.0.194,28:9b:24:18:d3:6c,11,M12-POD2-11-sw,4/14/2022 00:39,M12-POD2-11-3-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-108,1202,52.6 MB,10.12.0.199,f2:12:e4:d0:fb:a4,20,M12-POD2-11-sw,4/14/2022 00:39,M12-POD2-11-4-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-202,1202,47.1 MB,10.12.0.200,18:8c:d4:3d:3b:fb,19,M12-POD2-11-sw,4/14/2022 00:39,M12-POD2-11-4-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-325,1202,12.8 MB,10.12.0.202,ac:e5:29:c1:05:1b,19,M12-POD2-06-sw,4/14/2022 00:39,M12-POD2-6-4-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-281,1202,43.9 MB,10.12.0.203,4a:4f:c5:06:8b:ea,12,M12-POD2-07-sw,4/14/2022 00:39,M12-POD2-7-3-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-259,1202,44.5 MB,10.12.0.204,4c:6b:8c:0e:82:5b,12,M12-POD2-11-sw,4/14/2022 00:39,M12-POD2-11-3-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-129,1202,46.5 MB,10.12.0.205,b6:03:7c:78:22:20,6,M12-POD2-11-sw,4/14/2022 00:39,M12-POD2-11-2-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-105,1202,58.5 MB,10.12.0.206,94:55:ee:e0:c4:7c,17,M12-POD2-05-sw,4/14/2022 00:39,M12-POD2-5-4-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-198,1202,53.3 MB,10.12.0.211,52:5b:77:99:e2:1c,16,M12-POD2-05-sw,4/14/2022 00:39,M12-POD2-5-4-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-184,1202,46.7 MB,10.12.0.214,8e:47:c9:79:09:0f,12,M12-POD2-10-sw,4/14/2022 00:39,M12-POD2-10-3-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-363,1202,46.5 MB,10.12.0.218,5c:7b:38:71:76:63,19,M12-POD2-10-sw,4/14/2022 00:39,M12-POD2-10-4-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-379,1202,46.1 MB,10.12.0.222,16:55:6c:6e:1e:0b,20,M12-POD2-10-sw,4/14/2022 00:39,M12-POD2-10-4-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-59,1202,48.9 MB,10.12.0.223,8c:bd:05:89:45:46,4,M12-POD2-07-sw,4/14/2022 00:39,M12-POD2-7-1-4,Antminer S17+ (vnish 2.0.4), S17+
antMiner-178,1202,48.1 MB,10.12.0.224,c4:ca:7e:3a:ff:ef,10,M12-POD2-10-sw,4/14/2022 00:39,M12-POD2-10-2-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-201,1202,48.0 MB,10.12.0.230,b4:80:d6:b6:7d:36,8,M12-POD2-10-sw,4/14/2022 00:39,M12-POD2-10-2-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-127,1202,46.4 MB,10.12.0.231,a4:1d:ee:ae:25:f8,2,M12-POD2-07-sw,4/14/2022 00:39,M12-POD2-7-1-2,Antminer S17+ (vnish 2.0.4), S17+
antMiner-190,1202,46.8 MB,10.12.0.236,58:1d:a1:87:6a:a1,7,M12-POD2-10-sw,4/14/2022 00:39,M12-POD2-10-2-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-32,1202,42.9 MB,10.12.0.238,0a:b2:f0:67:83:e9,6,M12-POD2-07-sw,4/14/2022 00:39,M12-POD2-7-2-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-338,1202,46.0 MB,10.12.0.239,d6:bd:b0:f3:b7:c3,11,M12-POD2-05-sw,4/14/2022 00:39,M12-POD2-5-3-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-170,1202,46.3 MB,10.12.0.242,5a:7a:b8:cf:66:bf,17,M12-POD2-10-sw,4/14/2022 00:39,M12-POD2-10-4-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-153,1202,47.4 MB,10.12.0.246,d8:0a:5e:8f:6c:06,17,M12-POD2-06-sw,4/14/2022 00:39,M12-POD2-6-4-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-263,1202,54.0 MB,10.12.0.247,82:dd:ac:79:74:17,12,M12-POD2-05-sw,4/14/2022 00:39,M12-POD2-5-3-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-307,1202,43.8 MB,10.12.0.248,c2:52:39:b2:38:9e,11,M12-POD2-10-sw,4/14/2022 00:39,M12-POD2-10-3-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-136,1202,45.4 MB,10.12.1.1,56:69:69:e1:7c:97,15,M12-POD2-06-sw,4/14/2022 00:39,M12-POD2-6-3-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-90,1202,48.4 MB,10.12.1.4,80:15:c2:53:8d:76,15,M12-POD2-08-sw,4/14/2022 00:39,M12-POD2-8-3-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-286,1202,46.1 MB,10.12.1.5,00:fe:5f:3f:b4:e3,16,M12-POD2-10-sw,4/14/2022 00:39,M12-POD2-10-4-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-284,1202,46.2 MB,10.12.1.7,0c:60:fa:31:68:05,14,M12-POD2-06-sw,4/14/2022 00:39,M12-POD2-6-3-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-271,1202,47.6 MB,10.12.1.12,6a:03:f5:76:22:bf,5,M12-POD2-05-sw,4/14/2022 00:39,M12-POD2-5-1-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-49,1202,47.2 MB,10.12.1.13,42:bf:86:65:2e:32,14,M12-POD2-08-sw,4/14/2022 00:39,M12-POD2-8-3-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-98,1202,60.6 MB,10.12.1.14,c2:13:08:25:c7:ce,13,M12-POD2-10-sw,4/14/2022 00:39,M12-POD2-10-3-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-154,1202,47.9 MB,10.12.1.19,ce:4f:a4:fe:53:84,3,M12-POD2-05-sw,4/14/2022 00:39,M12-POD2-5-1-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-347,1202,45.9 MB,10.12.1.22,46:77:36:41:16:d3,14,M12-POD2-10-sw,4/14/2022 00:39,M12-POD2-10-3-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-335,1202,43.5 MB,10.12.1.23,88:33:35:77:8b:03,15,M12-POD2-10-sw,4/14/2022 00:39,M12-POD2-10-3-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-390,1202,43.4 MB,10.12.1.24,74:c3:18:ec:88:e7,1,M12-POD2-05-sw,4/14/2022 00:39,M12-POD2-5-1-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-384,1202,46.5 MB,10.12.1.28,0a:17:7b:2a:26:f0,19,M12-POD2-09-sw,4/14/2022 00:39,M12-POD2-9-4-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-279,1202,44.7 MB,10.12.1.29,92:43:59:12:69:c5,8,M12-POD2-06-sw,4/14/2022 00:39,M12-POD2-6-2-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-374,1202,47.3 MB,10.12.1.31,18:1d:9b:18:48:4c,13,M12-POD2-08-sw,4/14/2022 00:39,M12-POD2-8-3-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-308,1202,43.8 MB,10.12.1.32,ba:8d:e2:30:a0:84,20,M12-POD2-09-sw,4/14/2022 00:39,M12-POD2-9-4-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-102,1202,46.7 MB,10.12.1.35,b4:c9:61:ba:55:9b,3,M12-POD2-06-sw,4/14/2022 00:39,M12-POD2-6-1-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-372,1202,47.8 MB,10.12.1.38,1e:df:2e:98:b1:cb,6,M12-POD2-10-sw,4/14/2022 00:39,M12-POD2-10-2-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-240,1202,47.7 MB,10.12.1.40,40:b0:8f:b8:41:36,4,M12-POD2-06-sw,4/14/2022 00:39,M12-POD2-6-1-4,Antminer S17+ (vnish 2.0.4), S17+
antMiner-79,1202,46.4 MB,10.12.1.41,4a:e1:0a:f6:f1:78,1,M12-POD2-10-sw,4/14/2022 00:39,M12-POD2-10-1-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-292,1202,44.0 MB,10.12.1.43,32:7f:f2:6f:60:57,2,M12-POD2-10-sw,4/14/2022 00:39,M12-POD2-10-1-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-246,1202,44.3 MB,10.12.1.45,ec:b1:eb:75:ab:95,3,M12-POD2-10-sw,4/14/2022 00:39,M12-POD2-10-1-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-188,1202,46.3 MB,10.12.1.49,6c:96:1c:58:1c:83,2,M12-POD2-06-sw,4/14/2022 00:39,M12-POD2-6-1-2,Antminer S17+ (vnish 2.0.4), S17+
antMiner-45,1202,45.5 MB,10.12.1.50,ee:ac:90:42:ac:6d,17,M12-POD2-09-sw,4/14/2022 00:39,M12-POD2-9-4-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-20,1202,47.1 MB,10.12.1.55,84:09:e3:79:e5:7f,7,M12-POD2-06-sw,4/14/2022 00:39,M12-POD2-6-2-2,Antminer S17+ (vnish 2.0.4), S17+
antMiner-142,1202,46.2 MB,10.12.1.57,7e:7a:fe:a9:49:36,18,M12-POD2-09-sw,4/14/2022 00:39,M12-POD2-9-4-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-21,1202,46.7 MB,10.12.1.58,b2:b6:69:0e:05:c8,6,M12-POD2-06-sw,4/14/2022 00:39,M12-POD2-6-2-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-254,1202,47.7 MB,10.12.1.67,1a:a8:7b:66:fd:f4,12,M12-POD2-08-sw,4/14/2022 00:39,M12-POD2-8-3-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-302,1202,46.8 MB,10.12.1.68,50:85:54:44:76:03,16,M12-POD2-09-sw,4/14/2022 00:39,M12-POD2-9-4-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-133,1202,47.8 MB,10.12.1.70,3c:16:78:db:4c:91,13,M12-POD2-09-sw,4/14/2022 00:39,M12-POD2-9-3-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-100,1202,46.8 MB,10.12.1.71,6e:fc:15:85:e2:e2,12,M12-POD2-09-sw,4/14/2022 00:39,M12-POD2-9-3-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-318,1202,45.5 MB,10.12.1.72,4c:1c:82:71:00:35,6,M12-POD2-08-sw,4/14/2022 00:39,M12-POD2-8-2-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-69,1202,46.6 MB,10.12.1.73,ce:71:0c:87:a5:99,7,M12-POD2-08-sw,4/14/2022 00:39,M12-POD2-8-2-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-309,1202,46.0 MB,10.12.1.74,26:02:68:3e:6b:86,11,M12-POD2-09-sw,4/14/2022 00:39,M12-POD2-9-3-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-41,1202,46.7 MB,10.12.1.75,aa:8c:be:e1:6a:d0,10,M12-POD2-08-sw,4/14/2022 00:39,M12-POD2-8-2-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-156,1202,53.0 MB,10.12.1.76,98:5d:a8:d7:49:78,2,M12-POD2-05-sw,4/14/2022 00:39,M12-POD2-5-1-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-306,1202,45.9 MB,10.12.1.81,1e:d7:2a:50:6a:21,14,M12-POD2-09-sw,4/14/2022 00:39,M12-POD2-9-3-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-37,1202,46.7 MB,10.12.1.82,92:55:c2:b9:80:07,4,M12-POD2-08-sw,4/14/2022 00:39,M12-POD2-8-1-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-12,1202,46.8 MB,10.12.1.83,a8:c6:18:7f:52:ab,15,M12-POD2-09-sw,4/14/2022 00:39,M12-POD2-9-3-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-4,1202,47.6 MB,10.12.1.84,d8:59:4e:bc:bb:83,6,M12-POD2-09-sw,4/14/2022 00:39,M12-POD2-9-2-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-35,1202,34.3 MB,10.12.1.85,4e:bf:58:ea:68:e0,3,M12-POD2-08-sw,4/14/2022 00:39,M12-POD2-8-1-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-345,1202,45.1 MB,10.12.1.86,f0:96:49:e0:44:f0,7,M12-POD2-09-sw,4/14/2022 00:39,M12-POD2-9-2-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-91,1202,47.9 MB,10.12.1.88,78:e3:f9:81:5d:8d,2,M12-POD2-08-sw,4/14/2022 00:39,M12-POD2-8-1-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-316,1202,45.2 MB,10.12.1.89,ac:68:0a:04:70:2d,8,M12-POD2-09-sw,4/14/2022 00:39,M12-POD2-9-2-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-140,1202,65.8 MB,10.12.1.91,0a:05:4c:5b:2d:17,9,M12-POD2-09-sw,4/14/2022 00:39,M12-POD2-9-2-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-112,1202,13.0 MB,10.12.1.93,36:ee:85:98:95:a3,5,M12-POD2-09-sw,4/14/2022 00:39,M12-POD2-9-1-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-19,1202,45.9 MB,10.12.1.96,c8:cd:6c:15:43:43,2,M12-POD2-09-sw,4/14/2022 00:39,M12-POD2-9-1-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-22,1202,48.5 MB,10.12.1.97,c0:84:e2:6d:e2:25,1,M12-POD2-09-sw,4/14/2022 00:39,M12-POD2-9-1-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-139,1202,46.3 MB,10.12.1.98,8e:af:51:e8:3c:9d,20,M12-POD2-01-sw,4/14/2022 00:39,M12-POD2-1-4-5,Antminer T17+ (vnish 2.0.4), T17+
