description,vlan,usage,iPv4_address,mac_address,port,connected_to,last_seen,location,model,code
Avalon3181BD,1204,31.1 MB,10.12.22.12,b4:a2:eb:31:81:bd,29,M12-POD4-18-sw,4/14/2022 00:39,M12-POD4-18-6-4,AvalonMiner 1047,A1047
Avalon3186CA,1204,38.0 MB,10.12.22.13,b4:a2:eb:31:86:ca,30,M12-POD4-18-sw,4/14/2022 00:39,M12-POD4-18-6-5,AvalonMiner 1047,A1047
Avalon317B7A,1204,31.1 MB,10.12.22.14,b4:a2:eb:31:7b:7a,25,M12-POD4-18-sw,4/14/2022 00:39,M12-POD4-18-5-5,AvalonMiner 1047,A1047
Avalon317864,1204,31.5 MB,10.12.22.15,b4:a2:eb:31:78:64,23,M12-POD4-18-sw,4/14/2022 00:39,M12-POD4-18-5-3,AvalonMiner 1047,A1047
Avalon3131EA,1204,31.3 MB,10.12.22.16,b4:a2:eb:31:31:ea,26,M12-POD4-19-sw,4/14/2022 00:39,M12-POD4-19-6-1,AvalonMiner 1047,A1047
Avalon313455,1204,28.9 MB,10.12.22.17,b4:a2:eb:31:34:55,27,M12-POD4-19-sw,4/14/2022 00:39,M12-POD4-19-6-2,AvalonMiner 1047,A1047
Avalon317826,1204,25.4 MB,10.12.22.18,b4:a2:eb:31:78:26,28,M12-POD4-19-sw,4/14/2022 00:39,M12-POD4-19-6-3,AvalonMiner 10xx,A1047
Avalon3167D0,1204,16.7 MB,10.12.22.19,b4:a2:eb:31:67:d0,29,M12-POD4-19-sw,4/14/2022 00:38,M12-POD4-19-6-4,Idle,Idle
Avalon318F00,1204,30.3 MB,10.12.22.20,b4:a2:eb:31:8f:00,30,M12-POD4-19-sw,4/14/2022 00:39,M12-POD4-19-6-5,AvalonMiner 1047,A1047
Avalon318AB0,1204,31.3 MB,10.12.22.21,b4:a2:eb:31:8a:b0,25,M12-POD4-19-sw,4/14/2022 00:39,M12-POD4-19-5-5,AvalonMiner 1047,A1047
Avalon3154FB,1204,32.5 MB,10.12.22.22,b4:a2:eb:31:54:fb,24,M12-POD4-16-sw,4/14/2022 00:39,M12-POD4-16-5-4,AvalonMiner 1047,A1047
Avalon3166EF,1204,30.4 MB,10.12.22.23,b4:a2:eb:31:66:ef,25,M12-POD4-16-sw,4/14/2022 00:39,M12-POD4-16-5-5,AvalonMiner 1047,A1047
Avalon313C08,1204,30.0 MB,10.12.22.24,b4:a2:eb:31:3c:08,24,M12-POD4-19-sw,4/14/2022 00:39,M12-POD4-19-5-4,AvalonMiner 1047,A1047
Avalon31320C,1204,25.9 MB,10.12.22.25,b4:a2:eb:31:32:0c,23,M12-POD4-19-sw,4/14/2022 00:39,M12-POD4-19-5-3,AvalonMiner 1047,A1047
Avalon3136D1,1204,29.7 MB,10.12.22.26,b4:a2:eb:31:36:d1,22,M12-POD4-19-sw,4/14/2022 00:39,M12-POD4-19-5-2,AvalonMiner 1047,A1047
Avalon318F85,1204,30.0 MB,10.12.22.27,b4:a2:eb:31:8f:85,24,M12-POD4-20-sw,4/14/2022 00:39,M12-POD4-20-5-4,AvalonMiner 1047,A1047
Avalon31324E,1204,31.9 MB,10.12.22.28,b4:a2:eb:31:32:4e,25,M12-POD4-20-sw,4/14/2022 00:39,M12-POD4-20-5-5,AvalonMiner 1047,A1047
Avalon317816,1204,30.1 MB,10.12.22.29,b4:a2:eb:31:78:16,21,M12-POD4-19-sw,4/14/2022 00:39,M12-POD4-19-5-1,AvalonMiner 1047,A1047
Avalon318222,1204,30.4 MB,10.12.22.30,b4:a2:eb:31:82:22,28,M12-POD4-20-sw,4/14/2022 00:39,M12-POD4-20-6-3,AvalonMiner 1047,A1047
Avalon313A60,1204,30.5 MB,10.12.22.31,b4:a2:eb:31:3a:60,29,M12-POD4-20-sw,4/14/2022 00:39,M12-POD4-20-6-4,AvalonMiner 1047,A1047
Avalon3171B8,1204,32.0 MB,10.12.22.32,b4:a2:eb:31:71:b8,23,M12-POD4-20-sw,4/14/2022 00:39,M12-POD4-20-5-3,AvalonMiner 1047,A1047
Avalon315F34,1204,28.2 MB,10.12.22.34,b4:a2:eb:31:5f:34,26,M12-POD4-20-sw,4/14/2022 00:39,M12-POD4-20-6-1,AvalonMiner 1047,A1047
Avalon317A46,1204,31.5 MB,10.12.22.35,b4:a2:eb:31:7a:46,27,M12-POD4-20-sw,4/14/2022 00:39,M12-POD4-20-6-2,AvalonMiner 1047,A1047
Avalon3173B9,1204,31.6 MB,10.12.22.36,b4:a2:eb:31:73:b9,22,M12-POD4-20-sw,4/14/2022 00:39,M12-POD4-20-5-2,AvalonMiner 1047,A1047
Avalon313698,1204,30.9 MB,10.12.22.37,b4:a2:eb:31:36:98,21,M12-POD4-20-sw,4/14/2022 00:39,M12-POD4-20-5-1,AvalonMiner 1047,A1047
